date,ranking,name,country,age,points,tournamentsPlayed,playerUrl
1973-12-14,58,Peter Szoke,HUN,26,0,0,https://www.atptour.com/en/players/peter-szoke/s230/overview
1973-12-14,59,Harold Solomon,USA,21,0,0,https://www.atptour.com/en/players/harold-solomon/s065/overview
1973-12-14,60,Allan Stone,AUS,28,0,0,https://www.atptour.com/en/players/allan-stone/s148/overview
1973-12-14,61,Kjell Johansson,SWE,22,0,0,https://www.atptour.com/en/players/kjell-johansson/j032/overview
1973-12-14,62,Martin Mulligan,ITA,33,0,0,https://www.atptour.com/en/players/martin-mulligan/m155/overview
1973-12-14,63,Pierre Barthes,FRA,32,0,0,https://www.atptour.com/en/players/pierre-barthes/b122/overview
1973-12-14,64,Barry Phillips-Moore,AUS,36,0,0,https://www.atptour.com/en/players/barry-phillips-moore/p078/overview
1973-12-14,65,Boro Jovanovic,YUG,34,0,0,https://www.atptour.com/en/players/boro-jovanovic/j033/overview
1973-12-14,66,Gerald Battrick,GBR,26,0,0,https://www.atptour.com/en/players/gerald-battrick/b124/overview
1973-12-14,67,Georges Goven,FRA,25,0,0,https://www.atptour.com/en/players/georges-goven/g031/overview
1973-12-14,68,Juan Gisbert Sr,ESP,31,0,0,https://www.atptour.com/en/players/juan-gisbert-sr/g076/overview
1973-12-14,69,Antonio Zugarelli,ITA,23,0,0,https://www.atptour.com/en/players/antonio-zugarelli/z013/overview
1973-12-14,70,Zeljko Franulovic,CRO,26,0,0,https://www.atptour.com/en/players/zeljko-franulovic/f074/overview
1973-12-14,71,Sherwood Stewart,USA,27,0,0,https://www.atptour.com/en/players/sherwood-stewart/s082/overview
1973-12-14,72,Frank Froehling,USA,31,0,0,https://www.atptour.com/en/players/frank-froehling/f079/overview
1973-12-14,73,Robert Maud,RSA,27,0,0,https://www.atptour.com/en/players/robert-maud/m140/overview
1973-12-14,74,Ion Tiriac,ROU,34,0,0,https://www.atptour.com/en/players/ion-tiriac/t040/overview
1973-12-14,75,Mike Estep,USA,24,0,0,https://www.atptour.com/en/players/mike-estep/e040/overview
1973-12-14,76,Corrado Barazzutti,ITA,20,0,0,https://www.atptour.com/en/players/corrado-barazzutti/b007/overview
1973-12-14,77,Jaime Pinto-Bravo,CHI,34,0,0,https://www.atptour.com/en/players/jaime-pinto-bravo/p067/overview
1973-12-14,78,Frew McMillan,RSA,31,0,0,https://www.atptour.com/en/players/frew-mcmillan/m111/overview
1973-12-14,78,Toshiro Sakai,JPN,26,0,0,https://www.atptour.com/en/players/toshiro-sakai/s103/overview
1973-12-14,80,Bob  Carmichael,AUS,33,0,0,https://www.atptour.com/en/players/bob--carmichael/c080/overview
1973-12-14,81,Ismail El Shafei,EGY,26,0,0,https://www.atptour.com/en/players/ismail-el-shafei/e038/overview
1973-12-14,82,Jeff Borowiak,USA,24,0,0,https://www.atptour.com/en/players/jeff-borowiak/b059/overview
1973-12-14,83,Antonio Munoz,ESP,22,0,0,https://www.atptour.com/en/players/antonio-munoz/m156/overview
1973-12-14,84,Jean-Baptiste Chanfreau,FRA,26,0,0,https://www.atptour.com/en/players/jean-baptiste-chanfreau/c083/overview
1973-12-14,85,Hans Kary,AUT,24,0,0,https://www.atptour.com/en/players/hans-kary/k041/overview
1973-12-14,86,John Cooper,AUS,27,0,0,https://www.atptour.com/en/players/john-cooper/c171/overview
1973-12-14,87,Ian Fletcher,AUS,25,0,0,https://www.atptour.com/en/players/ian-fletcher/f071/overview
1973-12-14,87,Milan Holecek,CZE,30,0,0,https://www.atptour.com/en/players/milan-holecek/h059/overview
1973-12-14,89,Wanaro N'Godrella,FRA,24,0,0,https://www.atptour.com/en/players/wanaro-n'godrella/n045/overview
1973-12-14,90,Haroon Rahim,PAK,24,0,0,https://www.atptour.com/en/players/haroon-rahim/r063/overview
1973-12-14,90,Vladimir Zednik,CZE,26,0,0,https://www.atptour.com/en/players/vladimir-zednik/z023/overview
1973-12-14,92,Jeff Simpson,NZL,23,0,0,https://www.atptour.com/en/players/jeff-simpson/s123/overview
1973-12-14,93,John Paish,GBR,25,0,0,https://www.atptour.com/en/players/john-paish/p142/overview
1973-12-14,94,Jun Kamiwazumi,JPN,26,0,0,https://www.atptour.com/en/players/jun-kamiwazumi/k002/overview
1973-12-14,95,Jim McManus,USA,33,0,0,https://www.atptour.com/en/players/jim-mcmanus/m144/overview
1973-12-14,96,Butch Seewagen,USA,27,0,0,https://www.atptour.com/en/players/butch-seewagen/s139/overview
1973-12-14,97,Paul Kronk,AUS,19,0,0,https://www.atptour.com/en/players/paul-kronk/k073/overview
1973-12-14,98,Dick Dell,USA,26,0,0,https://www.atptour.com/en/players/dick-dell/d073/overview
1973-12-14,99,Patricio Cornejo,CHI,29,0,0,https://www.atptour.com/en/players/patricio-cornejo/c088/overview
1973-12-14,100,John Lloyd,GBR,19,0,0,https://www.atptour.com/en/players/john-lloyd/l036/overview
1974-12-20,1,Jimmy Connors,USA,22,0,0,https://www.atptour.com/en/players/jimmy-connors/c044/overview
1974-12-20,2,John Newcombe,AUS,30,0,0,https://www.atptour.com/en/players/john-newcombe/n044/overview
1974-12-20,3,Bjorn Borg,SWE,18,0,0,https://www.atptour.com/en/players/bjorn-borg/b058/overview
1974-12-20,4,Rod Laver,AUS,36,0,0,https://www.atptour.com/en/players/rod-laver/l058/overview
1974-12-20,5,Guillermo Vilas,ARG,22,0,0,https://www.atptour.com/en/players/guillermo-vilas/v028/overview
1974-12-20,6,Tom Okker,NED,30,0,0,https://www.atptour.com/en/players/tom-okker/o032/overview
1974-12-20,7,Arthur Ashe,USA,31,0,0,https://www.atptour.com/en/players/arthur-ashe/a063/overview
1974-12-20,8,Stan Smith,USA,28,0,0,https://www.atptour.com/en/players/stan-smith/s060/overview
1974-12-20,9,Ken Rosewall,AUS,40,0,0,https://www.atptour.com/en/players/ken-rosewall/r075/overview
1974-12-20,10,Ilie Nastase,ROU,28,0,0,https://www.atptour.com/en/players/ilie-nastase/n008/overview
1974-12-20,11,Manuel Orantes,ESP,25,0,0,https://www.atptour.com/en/players/manuel-orantes/o017/overview
1974-12-20,12,Marty Riessen,USA,33,0,0,https://www.atptour.com/en/players/marty-riessen/r055/overview
1974-12-20,13,Alex Metreveli,GEO,30,0,0,https://www.atptour.com/en/players/alex-metreveli/m271/overview
1974-12-20,14,Roscoe Tanner,USA,23,0,0,https://www.atptour.com/en/players/roscoe-tanner/t006/overview
1974-12-20,15,Dick Stockton,USA,23,0,0,https://www.atptour.com/en/players/dick-stockton/s090/overview
1974-12-20,16,Harold Solomon,USA,22,0,0,https://www.atptour.com/en/players/harold-solomon/s065/overview
1974-12-20,17,Jan Kodes,CZE,28,0,0,https://www.atptour.com/en/players/jan-kodes/k049/overview
1974-12-20,18,Cliff Drysdale,RSA,33,0,0,https://www.atptour.com/en/players/cliff-drysdale/d082/overview
1974-12-20,19,Raul Ramirez,MEX,21,0,0,https://www.atptour.com/en/players/raul-ramirez/r065/overview
1974-12-20,20,Francois Jauffret,FRA,32,0,0,https://www.atptour.com/en/players/francois-jauffret/j031/overview
